word	count
可持续发展	11
—	8
建筑	8
环境	7
爱尔兰	6
排放	6
国际	5
技术	5
可	4
持续	4
都柏林	4
大学	4
副校长	4
讲座	4
设计	4
混凝土	4
作为	4
主讲人	3
重庆大学	3
大家	3
是	3
说明	3
二氧化碳	3
新	3
目标	3
问题	3
同学们	3
城市	2
讲坛	2
介绍	2
主要	2
碳化	2
钢筋	2
耐久性	2
研究	2
世界	2
水泥	2
大量	2
能够	2
降低	2
工程师	2
做	2
思考	2
提出	2
议程	2
气候变化	2
发展	2
现在	2
废气	2
过程	2
建筑设计	2
重要性	2
矿渣	2
要	2
思索	2
下午	1
合作	1
交流	1
处	1
建筑学	1
部	1
主办	1
区	1
综合楼	1
教室	1
召开	1
分享	1
工程	1
相关	1
知识	1
开始	1
主持人	1
进行	1
土	1
木结构	1
工程学院	1
院长	1
从事	1
碱化	1
服役	1
寿命	1
模型	1
性	1
能	1
方法	1
基本	1
情况	1
作	1
简要	1
友好	1
国家	1
教育	1
水平	1
排	1
全国	1
进入	1
主题	1
工业	1
引起	1
气候	1
改变	1
迫切需要	1
排放量	1
时候	1
全球	1
联合国	1
充分说明	1
控制	1
加强	1
适应能力	1
国内	1
层面	1
采取行动	1
应对	1
解决	1
接下来	1
行业	1
趋势	1
实验	1
热点	1
原理	1
普通	1
绿色	1
对比	1
造成	1
资源	1
浪费	1
污染物	1
讲解	1
让	1
充分	1
体会	1
到	1
能源	1
高效率	1
利用	1
发挥	1
重要	1
作用	1
配制	1
结构	1
优质	1
掺合料	1
混合	1
材	1
比如	1
粉煤灰	1
粒化	1
高炉	1
粉	1
人员	1
应该	1
算是	1
好	1
工程设计	1
有	1
深入	1
了解	1
包括	1
必要性	1
达到	1
未来	1
节能	1
减排	1
必然性	1
前沿技术	1
使	1
受益匪浅	1
相信	1
日后	1
学习	1
实践	1
会	1
关注	1
将来	1
可能	1
发生	1
贡献	1
力量	1
简介	1
