word	count
研究	71
主讲人	69
教授	50
技术	49
a	34
工程	32
中国	32
简介	31
国家	31
是	29
获	29
主要	26
学习	26
工作	25
国际	24
应用	24
专业	24
学生	24
报告	21
论文	21
大学	21
重庆大学	20
智能	19
学术	19
介绍	18
设计	18
生物	17
项	17
奖	17
项目	17
发展	17
教学	17
人类	16
发表	16
科学	16
获得	16
主任	16
报名	16
会议	16
教师	16
中国科学院	15
美国	15
指导	15
课程	15
化学	14
器件	14
可	14
会	14
有	14
领域	14
活动	14
系统	14
研究所	13
研究员	13
从事	13
机器	13
理论	13
方向	13
能力	13
博士	13
科技	13
创新	13
就业指导	13
就业	13
讲座	13
中心	13
问题	13
到	12
时间	12
人	12
主题	12
I	11
方面	11
导师	11
包括	11
学者	11
主	11
教学楼	11
博士生	10
先后	10
计划	10
青年	10
s	10
教育	10
担任	10
专家	10
研发	10
燃烧	10
不端	10
博士学位	9
人才	9
重点	9
方法	9
做	9
副	9
信息	9
材料	9
创业	9
锅炉	9
高效	8
实验室	8
副教授	8
计算机	8
毕业	8
进行	8
博士后	8
主持	8
教育部	8
重大	8
重要	8
目前	8
来	8
重庆	8
同学	8
A	8
汽车	8
文化	8
清洁	7
深度	7
分析	7
二等奖	7
委员会	7
一等奖	7
柔性	7
感知	7
现任	7
环境	7
学院	7
求职	7
服务中心	7
地点	7
总	7
参与	7
—	7
代谢	7
燃烧室	7
热	7
委员	7
台湾	7
火星	7
课堂	7
嵌入式	7
能源	6
地球	6
开发	6
电化学	6
中科院	6
工业	6
支持	6
近	6
硕士学位	6
合作	6
部	6
收录	6
发明专利	6
钻井	6
探测	6
博士论文	6
优秀	6
实现	6
评估	6
／	6
主讲	6
有限公司	6
参加	6
关注	6
现场	6
来校	6
组学	6
网络	6
评价	6
成果	6
交流	6
分享	6
思维	6
加拿大	6
北京大学	6
管理	6
课堂教学	6
哲学	6
主席	6
H	5
存在	5
结合	5
思考	5
入选	5
杰出青年	5
结构	5
引用	5
中国化学会	5
超限	5
学习机	5
开始	5
作用	5
比如	5
部分	5
提供	5
影响	5
提高	5
工程学院	5
解决	5
过程	5
生	5
科学基金	5
获得者	5
出版	5
学会	5
基金会	5
类	5
石油	5
完井	5
研究院	5
高级	5
科学家	5
延展	5
集成	5
需要	5
人体	5
组织	5
监测	5
信号	5
开展	5
职通讲坛	5
期	5
内容	5
中兴通讯	5
西南	5
老师	5
重庆市	5
分析化学	5
色谱	5
题目	5
．	5
目标	5
研究生	5
状况	5
核心	5
研讨会	5
核	5
导图	5
月球	5
参观	5
化学系	5
d	5
翻转	5
社会科学	5
整	5
四川大学	5
程序	5
邵子立	5
新加坡	4
氢	4
纳米	4
催化剂	4
相关	4
访问	4
文章	4
相比	4
高	4
社会	4
世界	4
提出	4
支撑	4
模型	4
东北大学	4
工程系	4
国家自然科学基金	4
专著	4
排名	4
科技奖	4
力学	4
资助	4
男	4
石油大学	4
北京	4
日本	4
访问学者	4
系	4
油气	4
空化	4
射流	4
物理	4
研究成果	4
全国	4
教材	4
硕士	4
世纪	4
贴合	4
物理学	4
超	4
微	4
自主	4
毕业生	4
具体	4
通知	4
主办	4
预约	4
方式	4
微信	4
公众	4
推送	4
成功	4
未来	4
决策	4
现代	4
许国	4
旺	4
化物所	4
起	4
发现	4
预防	4
