word	count
主讲人	50
技术	38
中国	36
国家	29
教学	27
a	26
研究	26
简介	24
教授	24
项	22
国际	21
发展	19
学会	19
学习	19
中心	18
计划	15
电网	14
课程	14
科技	14
领域	13
输电	13
获	13
是	13
奖	13
博士生	12
导师	12
副	12
大学	12
能源	11
创新	11
成果	11
台湾大学	11
应用	11
人才	11
重点	10
电力	10
工程	10
电工	10
罗马法	10
博士	10
项目	9
论文	9
主任	9
工作	9
主持	9
专委会	9
教师	9
形象设计	9
担任	8
发表	8
现任	8
从事	8
直流	8
法律	8
专业	8
新	8
评量	8
工作坊	8
教育	8
技巧	8
带领	8
放电	8
材料	8
入选	8
领军	8
委员	8
沈家本	8
专家	7
先进	7
主要	7
二等奖	7
电机工程	7
主任委员	7
委员会	7
人	7
获得者	7
全国	7
爱	7
导向	7
实务	7
李纹霞	7
有效	7
设计	7
「	7
」	7
获得	7
装备	7
教育部	7
职业	7
d	6
院士	6
高	6
绝缘	6
学术	6
重要	6
宏观经济	6
经济	6
部分	6
学生	6
兼任	6
通识	6
小时	6
学	6
分享	6
等离子体	6
男	6
杰出青年	6
智能	5
公司	5
电力系统	5
方面	5
年度	5
重庆大学	5
运行	5
思维	5
出版	5
理念	5
者	5
研究所	5
结构	5
新世纪	5
出生	5
团队	5
国家自然科学基金	5
形象	5
超导	5
创业	5
易宠	5
腾讯	5
期刊	4
实验室	4
基金	4
电压	4
学术论文	4
发明专利	4
立	4
理论	4
千伏	4
世界	4
法	4
讲座	4
全球	4
增长	4
大	4
重庆	4
重庆市	4
部	4
介绍	4
方式	4
副组长	4
博士学位	4
课程设计	4
了解	4
完成	4
优秀	4
报名	4
程序	4
报告	4
高压	4
性	4
科学基金	4
省部级	4
编委	4
科技进步	4
十大	4
可	4
网	4
企业	4
s	4
光子	4
超快	4
吴宏伟教授	3
现	3
工程学院	3
煤	3
基础	3
主席	3
过程	3
近	3
科学家	3
科学	3
中国科学院	3
国务院	3
交流	3
分析	3
特高压	3
科学技术	3
杰出	3
李	3
浧	3
学院	3
理事	3
常务理事	3
秘书长	3
意大利	3
研究会	3
曾国平	3
风险	3
转型	3
有	3
管理	3
演讲	3
发挥	3
著作	3
作	3
时	3
规划	3
助理	3
加拿大	3
卡加利	3
硕士	3
绩优	3
主讲	3
认证	3
员	3
培训	3
内容	3
讨论	3
小组	3
风格	3
教学策略	3
单堂	3
课	3
来	3
具有	3
性能	3
电气	3
会议	3
特邀	3
授权	3
青年	3
国内外	3
资助	3
优秀人才	3
中青年	3
电介质	3
德国	3
复合材料	3
刊物	3
引	3
发电	3
救灾	3
称号	3
四川省	3
再生能源	3
中央电视台	3
毕业	3
主题	3
猿	3
选择	3
互联网	3
概况	3
沈厚铎	3
草案	3
以德	3
超	3
自旋	3
副主编	2
—	2
海外	2
客座教授	2
生物质	2
