word	count
主讲人	40
研究	40
中国	35
国家	30
项	29
项目	28
教授	26
发展	23
简介	20
工程	19
技术	18
礼仪	18
汽车	18
获	17
国际	17
设计	17
结构	17
教学	17
发表	16
人	16
安全	16
是	15
领域	15
秦	15
专家	15
大学	14
获得	14
德国	14
学生	14
建筑	14
论文	13
—	13
a	13
管理	13
专业	12
担任	12
学习	12
重庆	12
重庆市	12
有	12
问题	12
公共	12
二等奖	11
科技	11
主要	10
材料	10
工作	10
部	10
文化	10
博士	10
方面	10
工程师	10
成果	10
工业	10
计划	10
马克思主义	10
智能	10
委员会	9
科技进步	9
学术	9
中心	9
先后	9
新	9
报告	9
评审	9
包括	9
优秀	9
副	8
主任	8
一等奖	8
全国	8
石墨	8
烯	8
历史	8
参与	8
基金	8
报名	8
建设	8
交通	8
一带	8
教师	8
学会	7
委员	7
从事	7
省部级	7
方法	7
研究院	7
声乐	7
文学	7
具有	7
学术论文	7
工程设计	7
三峡工程	7
实践	7
大陆	7
创新	7
现任	6
大	6
科学	6
毕业	6
进行	6
学院	6
社科	6
总工程师	6
主持	6
奖	6
就业	6
重点	6
科研	6
青年	6
江苏省	6
期刊	6
香港	6
导师	5
发明专利	5
出版	5
专著	5
化学	5
影响	5
世界	5
不同	5
俄罗斯	5
美国	5
关注	5
理论	5
现	5
d	5
人类学	5
地震	5
结构设计	5
带头人	5
协会	5
就业指导	5
能力	5
职通讲坛	5
到	5
企业	5
开发	5
国家级	5
实验室	5
重大	5
基金项目	5
会议	5
国外	5
电介质	4
院士	4
男	4
纳米	4
薄膜	4
小组	4
碳	4
分校	4
博士学位	4
研究所	4
指导	4
进入	4
歌剧	4
比赛	4
重要	4
分析	4
重庆大学	4
社会科学	4
建立	4
完成	4
考古	4
博物院	4
同学	4
讲座	4
社会	4
震害	4
南京	4
高级	4
抗震	4
提升	4
期	4
信息	4
总监	4
培训	4
实施	4
通论	4
希望	4
学科	4
突出贡献	4
科技奖	4
长江水利委员会	4
葛洲坝	4
隔河岩	4
负责	4
陈国兴	4
基础	4
国家自然科学基金	4
高等学校	4
资助	4
实现	4
集团	4
欧洲	4
知名	4
增长	4
杂志	4
香港理工大学	4
讨论	4
何淑冰	4
台湾	4
理解	3
物理	3
过程	3
博士生	3
中国工程院	3
科学家	3
兼职	3
有着	3
性质	3
介绍	3
作为	3
工程学院	3
特聘	3
动力学	3
做	3
刊物	3
现场	3
音乐学院	3
马	3
剧院	3
角色	3
优秀作家	3
族群	3
探索	3
近	3
硕士学位	3
史	3
方向	3
秦始皇	3
帝陵	3
课题	3
研究员	3
理事	3
北京	3
关系	3
参加	3
全球化	3
价值	3
所长	3
政治	3
认同	3
西南	3
收录	3
空间结构	3
作用	3
施工	3
经验	3
教授级	3
注册	3
国务院	3
特殊津贴	3
土木工程	3
大型	3
行业	3
参编	3
主编	3
求职	3
开展	3
活动	3
内容	3
提前	3
成功	3
分享	3
人力	3
制造	3
体系	3
有效	3
课程	3
有助于	3
促进	3
学者	3
信息安全	3
荣誉	3
中青年	3
高校	3
代表处	3
授予	3
湖北省	3
重点项目	3
人才	3
教材	3
源	3
认识	3
华人	3
陈祯福	3
陈博士	3
机械	3
战略	3
推行	3
增多	3
北京大学	3
政治学	3
任	3
质量	3
主题	3
驾驶	3
减少	3
事故	3
工作坊	3
协作	3
雷清泉	2
当选	2
性能	2
即	2
使用	2
韩国	2
电子	2
测量	2
现象	2
优良	2
材料科学	2
加入	2
德克萨斯	2
杰出	2
首席	2
美国西北大学	2
机械工程	2
古典	2
系	2
特点	2
林斯基	2
柴可夫斯基	2
著名	2
研究生	2
饰演	2
处理	2
顶级	2
音乐厅	2
电影	2
弄臣	2
吉尔达	2
思考	2
十大	2
合作	2
新世纪	2
出现	2
引起	2
加强	2
推动	2
研究会	2
研讨	2
会	2
史党社	2
统一	2
制	2
来源	2
渊源	2
大量	2
发现	2
形成	2
热点问题	2
文献	2
热点	2
演讲者	2
视角	2
生于	2
陕西	2
西北大学	2
古代史	2
秦汉	2
规划	2
墨子	2
城	2
守	2
编委	2
戎狄	2
有关	2
范可	2
西方	2
伊斯兰	2
加深	2
指出	2
南京大学	2
性	2
物质	2
汶川	2
冯远	2
重灾区	2
型式	2
钢结构	2
砌体	2
现有	2
成都	2
提供	2
国家一级	2
颁发	2
政府	2
桥梁	2
分会	2
主任委员	2
实践经验	2
游泳	2
馆	2
突出	2
著作	2
礼	2
沈琼	2
提高	2
毕业生	2
服务中心	2
通知	2
职场	2
社交	2
时间	2
请	2
签到	2
入场	2
不得	2
缺席	2
预约	2
推送	2
可	2
举办	2
创业	2
来校	2
人力资源	2
行政	2
资源管理	2
师	2
专注	2
持续	2
组织	2
刷新	2
观念	2
杨义先	2
工具	2
网络空间	2
基础理论	2
界	2
现状	2
实质	2
北京邮电大学	2
长江	2
获得者	2
名师	2
负责人	2
数据	2
工作者	2
先进	2
北京市	2
奖章	2
杰出青年	2
郑守仁	2
兼	2
处长	2
截流	2
起	2
解决	2
贡献	2
金奖	2
银奖	2
岩土	2
安全性	2
支撑	2
纵向	2
三等奖	2
教育部	2
自然科学	2
博士后	2
开放	2
长江大桥	2
轻轨	2
精品	2
数据库	2
体会	2
来	2
意义	2
国内	2
客座教授	2
汽车底盘	2
电控	2
系统	2
全球	2
主席	2
黄建钢教授	2
提出	2
讲述	2
需要	2
浙江	2
海洋大学	2
浙江省	2
前沿	2
哲学	2
名词	2
审定	2
通讯	2
郑罡	2
桥梁工程	2
张京街	2
规范	2
未来	2
人口	2
城市	2
基础设施	2
乘员	2
交通事故	2
发生	2
研发	2
福特	2
车身	2
理学	2
策划	2
焦点	2
教学质量	2
香港大学	2
教育学	2
大学生	2
领导	2
资源	2
获邀	2
澳洲	2
马来西亚	2
地区	2
教育	2
发言	2
应邀	2
澳门	2
顾问	2
局	2
极化	1
电导	1
基本	1
出生	1
聘为	1
日本	1
大阪	1
客座	1
哈尔滨理工大学	1
博导	1
上海交通大学	1
电工	1
物理学	1
功能	1
复合材料	1
发明	1
劳动模范	1
建国	1
感动	1
龙江	1
英才	1
荣誉称号	1
基	1
衍生	1
独特	1
电学	1
热学	1
力学	1
极高	1
比	1
表面积	1
做为	1
原子	1
厚度	1
早在	1
原子力	1
针尖	1
摩擦	1
滑移	1
产生	1
最新进展	1
金属	1
衬底	1
单晶	1
气象	1
沉积	1
法	1
生长	1
得到	1
高	1
迁移率	1
标定	1
热导	1
展示	1
声子	1
散射	1
活化	1
新型	1
超级	1
电容器	1
电极	1
蔚山	1
奥斯丁	1
捐赠	1
美国伊利诺伊大学	1
香槟	1
哥廷根	1
马克斯	1
·	1
普朗克	1
流体	1
富	1
布莱特	1
访问学者	1
生物	1
生物医药	1
超过	1
评为	1
顶尖	1
名	1
位	1
纳米材料	1
深厚	1
造诣	1
金刚石	1
富勒烯	1
碳管	1
做出	1
系列	1
篇	1
H	1
因子	1
美声唱法	1
俄	1
唱法	1
现代	1
新理念	1
作品	1
诠释	1
演唱风格	1
语言	1
歌唱	1
咬字	1
差异	1
示范	1
人民	1
艺术家	1
圣彼得堡	1
国立	1
独唱	1
演员	1
小提琴	1
乌拉尔	1
罗金	1
诺娃	1
训练	1
考入	1
莫斯科	1
声乐系	1
师从	1
教育家	1
阿西	1
波娃	1
声音	1
甜美	1
动人	1
线条	1
优美	1
音乐	1
精准	1
扮演	1
多达	1
深受	1
群众	1
喜爱	1
歌声	1
传遍	1
欧美	1
如	1
大都会	1
歌剧院	1
伦敦	1
艾伯特	1
出演	1
录制	1
个人	1
唱片	1
古	1
浪漫曲	1
圣母颂	1
咏叹调	1
精彩	1
巴洛克	1
格林卡	1
评委	1
培养	1
大奖	1
三大	1
男高音	1
多明戈	1
先生	1
拍摄	1
新版	1
女一号	1
可谓	1
桃李满天下	1
王本朝	1
周晓风	1
吕进	1
繁荣景象	1
不断涌现	1
文坛	1
广泛	1
独具	1
个性	1
创作	1
书写	1
新篇章	1
昭示	1
最新动向	1
走向	1
现当代	1
会上	1
展开	1
人文	1
高等	1
承办	1
作家	1
评论	1
对象	1
梁上	1
泉	1
王雨	1
王逸虹	1
戚万凯	1
冉仲景	1
何炬学	1
吴景娅	1
张远伦	1
杨犁民	1
吴佳俊	1
刘运勇	1
强雯	1
张兵	1
小桥	1
老树	1
史学研究与史料研读	1
先秦	1
时期	1
楚	1
齐	1
相似	1
地位	1
中央集权	1
使命	1
手中	1
综合	1
古文字	1
资料	1
兼具	1
视野	1
机制	1
加以	1
追踪	1
置于	1
地理	1
气候	1
宏观	1
重新	1
加以分析	1
叙述	1
出	1
武功	1
县	1
历史系	1
师范大学	1
周秦	1
复旦大学	1
供职	1
田野	1
秦俑	1
坑	1
发掘	1
主笔	1
起草	1
秦始皇陵	1
国家文物局	1
院刊	1
文化遗产	1
秦史	1
〈	1
〉	1
中华书局	1
日出	1
西山	1
新探	1
西安	1
陕西人民出版社	1
博士论文	1
秦关北	1
望	1
近年	1
政治史	1
特征	1
台湾清华大学信息工程系机何宗易教授	1
摘要	1
s	1
欢迎	1
老师	1
提问	1
媒体	1
长期以来	1
误解	1
存在	1
鸿沟	1
相互理解	1
误导	1
民众	1
秉持	1
文明	1
冲突	1
价值论	1
变得	1
日益	1
今天	1
和而不同	1
位育	1
东方	1
古训	1
显	1
无与伦比	1
恒久	1
福建厦门	1
华盛顿大学	1
兼任	1
约翰斯	1
•	1
霍普金斯大学	1
美	1
厦门大学	1
人文学院	1
兴趣	1
专长	1
民族主义	1
仪式	1
信仰	1
华南	1
乡村	1
跨国	1
主义	1
代表作	1
在野	1
流动	1
信任	1
语境	1
异	1
导致	1
倒塌	1
严重破坏	1
造成	1
巨大	1
人员伤亡	1
财产损失	1
市县	1
乡镇	1
实地调查	1
分类	1
搜集	1
框架结构	1
框	1
剪	1
底框	1
砖混	1
情况	1
构件	1
节点	1
细部	1
破损	1
实况	1
楼梯	1
填充	1
墙	1
专门	1
调研	1
引发	1
检查	1
回访	1
总结	1
案例	1
教程	1
领域专家	1
江苏	1
工民建	1
四川省	1
有限公司	1
常务理事	1
超限	1
高层建筑	1
设防	1
审查	1
住	1
建部	1
丰富	1
常州	1
体育	1
会展中心	1
袁家岗	1
体育中心	1
跳水	1
现代五项	1
赛事	1
击剑	1
重庆江北国际机场	1
航站楼	1
精品工程	1
跨	1
取得	1
成就	1
研究成果	1
金质奖	1
铜质	1
中勘	1
协	1
中国建筑学会	1
奖励	1
国家专利	1
行业标准	1
知礼	1
懂礼	1
守礼	1
赢	1
天下	1
竞争力	1
简称	1
生涯规划	1
类	1
专题讲座	1
具体	1
如下	1
商务礼仪	1
会面	1
位次	1
排列	1
电话	1
形象	1
办公室	1
化妆	1
首饰	1
用餐	1
中餐	1
西餐	1
工作餐	1
自助餐	1
品酒	1
空间	1
距离	1
公共场所	1
送礼	1
星期四	1
下午	1
分钟	1
实行	1
总	1
名额	1
限	1
欲报	1
报满	1
即止	1
唯一	1
方式	1
官方	1
微信	1
微	1
信号	1
点击	1
栏目	1
通道	1
保持	1
手机	1
邮箱	1
畅通	1
密切	1
公众	1
指定	1
地点	1
准时	1
分	1
开始	1
