word	count
研究	61
主讲人	54
中国	50
教授	47
获	37
a	35
国家	34
工程	30
简介	27
测绘	23
测量	22
是	21
发表	19
技术	19
有	18
主要	18
专家	18
大学	18
科技进步	18
项	18
导师	17
从事	17
理论	17
文化	16
主任	16
学会	16
工作	16
博士生	15
结构	15
应用	14
项目	13
日本	13
副	13
二等奖	13
主持	13
领域	12
系统	12
论文	12
奖	12
历史	11
专著	11
一等奖	11
文学	11
专业	11
材料	11
电影	11
重点	10
中心	10
获得	10
博士	10
出版	10
同济大学	10
学院	10
完成	10
人	9
教育部	9
院长	9
英国	9
学科	9
国际	9
金属	9
报告	9
铝合金	9
世界	8
思想	8
先后	8
艺术	8
青年	8
讲座	8
方面	8
平差	8
高	8
部	8
美国	8
推进	8
现代	7
社会科学	7
研究所	7
副会长	7
研究会	7
学术论文	7
研究员	7
创意	7
基金	7
委员会	7
管理	7
新	7
三等奖	7
担任	7
设计	7
省部级	7
法国	7
s	7
风	7
重庆市	7
晶种	7
文明	6
世纪	6
意义	6
兼任	6
理事	6
大	6
方法	6
浙江大学	6
文化产业	6
经济	6
新疆	6
方向	6
先进	6
重要	6
社会	6
控制	6
教材	6
国家级	6
分析	6
科研项目	6
科学技术	6
化学	6
科学家	6
纳米	6
时代	5
传统	5
特聘	5
上海	5
全国	5
现任	5
参与	5
中国社会科学院	5
北京大学	5
研究院	5
计划	5
人才	5
时期	5
政府	5
钢结构	5
著名	5
数据处理	5
科技	5
优秀	5
实验室	5
物理	5
工学	5
工	5
院士	5
问题	5
影视	5
空间	5
轨	5
小说	5
学习	5
宗教	5
具有	4
上海市	4
委员	4
王轶	4
民法学	4
学者	4
中国人民大学	4
秘书长	4
原理	4
中华人民共和国	4
建议稿	4
时	4
记忆	4
d	4
语言	4
语言学	4
创新	4
计算	4
学	4
地方	4
创生	4
大地	4
发展	4
重大项目	4
评审	4
交流	4
到	4
研究成果	4
学术	4
任	4
—	4
国务院	4
葛兰言	4
李怡	4
高耸	4
协会	4
全球化	4
过程	4
茶叶	4
测量学	4
武汉	4
武汉大学	4
参加	4
学士	4
硕士	4
赴	4
发射	4
电子	4
环境	4
发明	4
博士学位	4
目前	4
知	4
工科大学	4
荷载	4
关注	4
著作	4
核	4
天体	4
主编	4
低温	4
研制	4
讨论	4
张振跃	4
数学	4
传	4
耐热	4
认同	3
思想史	3
经验	3
全球	3
华东师范大学	3
历史系	3
基地	3
联合	3
城市	3
近	3
著	3
称号	3
常务理事	3
兼	3
成员	3
民法	3
刊物	3
人类	3
产生	3
语料库	3
代表作	3
实现	3
社科	3
顾问	3
导论	3
北京	3
成为	3
利用	3
综合	3
史	3
吐鲁番	3
特殊津贴	3
哲学	3
价值	3
·	3
来	3
新文学	3
建设	3
主任委员	3
本科毕业	3
教学	3
科研	3
全面	3
鸦片	3
没有	3
副主编	3
误差	3
国家自然科学基金	3
组成员	3
大地测量	3
部级	3
基础	3
高等	3
规划	3
相关	3
课程	3
难熔	3
氧化物	3
良好	3
催化	3
特性	3
介绍	3
新型	3
工程学院	3
荣誉	3
科技奖	3
B	3
发明专利	3
绿色	3
客座教授	3
–	3
会长	3
探讨	3
大型	3
荣誉称号	3
风致	3
圆形	3
断面	3
试验	3
中科院	3
所长	3
大师	3
动画	3
宇宙	3
复杂	3
橡树	3
岭	3
杰出	3
马翰庭	3
德国	3
进步奖	3
推进剂	3
贮存	3
航天	3
卫星	3
流体	3
做为	3
指标	3
达到	3
伦理	3
男	3
算法	3
马克思主义	3
中国共产党	3
熔体	3
合金	3
演变	3
系	3
当代文学	3
许纪霖	2
主流	2
主体性	2
主题	2
知识分子	2
特殊性	2
好	2
转化	2
议题	2
人文	2
合著	2
知识	2
书	2
图书奖	2
长江	2
杰出青年	2
民法典	2
合同法	2
物权法	2
侵权	2
责任法	2
法学	2
顾曰国	2
模态	2
部分	2
模拟	2
首席	2
理工大学	2
重庆大学	2
香港理工大学	2
向勇	2
总体	2
包括	2
模式	2
东亚地区	2
建立	2
首席专家	2
院	2
亚洲	2
联盟	2
会议	2
观念	2
入选	2
高等学校	2
新世纪	2
拔尖	2
李肖	2
口袋	2
河西走廊	2
山	2
结	2
地区	2
中原	2
西域	2
丝绸之路	2
进入	2
东西	2
希望	2
近年来	2
考古	2
考古学	2
享受	2
新疆维吾尔自治区	2
成果	2
赵丙祥	2
公认	2
回溯	2
语文学	2
理解	2
历史主义	2
推动	2
社会学	2
学院院长	2
中共党史	2
现代文学	2
阐发	2
评价	2
生于	2
重庆	2
大学教授	2
马人乐	2
土木工程	2
桥梁	2
仲伟民	2
作用	2
国内	2
使	2
贸易	2
促进	2
不可	2
应战	2
导致	2
清华大学	2
常务	2
新闻出版	2
行业	2
陶本藻	2
邱卫宁	2
浙江	2
带头人	2
专题研究	2
地球	2
动力学	2
深	2
自由网	2
统计	2
自然科学	2
教学科研	2
进修	2
合作	2
主讲	2
参编	2
功能	2
王金淑	2
基	2
国家杰出青年基金	2
获得者	2
突出贡献	2
国防	2
中文	2
公开	2
授权	2
产业化	2
颜宁	2
新加坡国立大学	2
优秀青年	2
客座	2
李朝阳博士	2
私立	2
转为	2
公立	2
设有	2
物质	2
经营	2
研究科	2
校长	2
东京大学	2
副校长	2
名誉教授	2
会员	2
圆柱	2
绕流	2
马文勇	2
河北省	2
细长	2
振动	2
提供	2
吕坚	2
科学院	2
取得	2
专利	2
杂志	2
知名	2
骑士	2
勋章	2
杨晓林	2
编剧	2
戏剧	2
高校	2
比较文学	2
当代	2
电视剧	2
动画电影	2
奥斯卡	2
最佳	2
类	2
作品	2
建党	2
成果奖	2
年度	2
影片	2
了解	2
巨大	2
模型	2
能量	2
中	2
密度	2
美国能源部	2
批评	2
复制	2
岭南大学	2
媒介	2
系列	2
邹进贵	2
王明	2
权	2
注册	2
师	2
精密	2
传感器	2
集成	2
工程项目	2
交通	2
工业	2
道路	2
作为	2
打桩	2
勘测	2
评标	2
信息	2
设计师	2
液氢	2
微重力	2
加注	2
五院	2
水平	2
负责人	2
关键技术	2
北京市	2
陆建德	2
说	2
形式	2
作家	2
外国文学	2
文学评论	2
机器	2
收录	2
贯彻	2
习近平	2
总书记	2
论述	2
基金项目	2
宗教政策	2
伟人	2
大业	2
簇	2
调控	2
刘相法	2
出	2
C	2
高性能	2
高强	2
山东省	2
应物	2
兄	2
李洱	2
写作	2
反讽	2
武居昌	2
宏	2
流动	2
测试	2
新文化运动	1
汇入	1
反复	1
回荡	1
摆在	1
现实	1
提炼出	1
普遍性	1
普世之	1
适合	1
土壤	1
生长	1
重建	1
核心	1
紫江	1
副所长	1
不列颠	1
哥伦比亚大学	1
社联	1
中国史学会	1
二十世纪	1
启蒙	1
瓦解	1
家国	1
天下	1
个人	1
十论	1
国家图书馆	1
文津	1
十大	1
法学家	1
法学院	1
中国法学会	1
编纂	1
领导小组	1
总则	1
物权	1
变动	1
论	1
起草	1
认知	1
符号	1
感官	1
外部环境	1
感知	1
印象	1
语团	1
语汇	1
记录	1
依赖	1
历时	1
传承	1
当今	1
数字化	1
多媒体	1
词典	1
能够	1
保存	1
本体	1
心理	1
词汇	1
网状结构	1
研究室	1
暨	1
暨大	1
数据	1
老年	1
看护	1
社科院	1
语言所	1
南京师范大学	1
人工智能	1
诺丁汉大学	1
兰	1
卡斯特	1
澳大利亚西悉尼大学	1
悉尼大学	1
俄罗斯	1
圣彼得堡	1
彼得大帝	1
北京外国语大学	1
人民大学	1
山西大学	1
安徽师范大学	1
兼职	1
语用	1
话语分析	1
英语教育	1
编写	1
英语教材	1
统合	1
地景	1
产	1
营造	1
创业	1
不同	1
介入	1
新近	1
新兴	1
力量	1
激活	1
连接	1
未来	1
再生	1
后妻	1
艺术节	1
典范	1
澳门特区政府	1
韩国	1
推展	1
联合国	1
贸发	1
小组	1
阁楼	1
大象	1
流向	1
立国	1
领导力	1
译著	1
文化遗产	1
战略	1
编著	1
十佳	1
英才	1
优秀人才	1
支持	1
位于	1
内陆	1
形状	1
向东	1
打开	1
口沿	1
