title	category	speaker	date	url
诺丁汉大学Yuying Yan教授讲座	工程科学前沿讲坛	Prof. Yuying Yan	2018-03-12	http://news.cqu.edu.cn/newsv2/show-24-457-1.html
数据时代的挑战与大数据金融科技创新应用实践学术讲座	重大讲座	周涛 曾途	2018-03-05	http://news.cqu.edu.cn/newsv2/show-24-455-1.html
工程科学前沿讲坛：韩国釜山国立大学Taeho Lee教授讲座	工程科学前沿讲坛	Taeho Lee 教授	2018-01-17	http://news.cqu.edu.cn/newsv2/show-24-447-1.html
重庆大学人工智能与先进计算前沿技术青年论坛		张云泉，苗启广， 何万青，翟季冬，李超 ，陆游游	2018-01-13	http://news.cqu.edu.cn/newsv2/show-24-454-1.html
工程科学前沿讲坛：华中科技大学熊蔡华教授讲座	工程科学前沿讲坛	熊蔡华 华中科技大学教授、长江学者特聘教授、国家杰出青年基金获得者	2018-01-11	http://news.cqu.edu.cn/newsv2/show-24-453-1.html
澳大利亚昆士兰科技大学闫橙教授学术讲座	工程科学前沿讲坛	闫橙	2018-01-09	http://news.cqu.edu.cn/newsv2/show-24-452-1.html
法国图卢兹大学Mondher Bouzayen院士学术报告		Mondher Bouzayen	2018-01-09	http://news.cqu.edu.cn/newsv2/show-24-451-1.html
土木工程学院学术报告会	重大讲座	Prif.Ishihara石原教授	2018-01-05	http://news.cqu.edu.cn/newsv2/show-24-448-1.html
情绪与压力管理--调整心态 挑战压力 创造快乐人生		杨国愉	2017-12-28	http://news.cqu.edu.cn/newsv2/show-24-446-1.html
新加坡国立大学Lee Fook Hou学术报告会		LeeFookHou (李福豪)	2017-12-27	http://news.cqu.edu.cn/newsv2/show-24-444-1.html
Tian-Chyi Jim Yeh 学术报告会		Tian-Chyi Jim Yeh (叶天齐)教授	2017-12-26	http://news.cqu.edu.cn/newsv2/show-24-445-1.html
美国爱荷华州立大学温志友教授讲座	工程科学前沿讲坛	温志友 教授	2017-12-26	http://news.cqu.edu.cn/newsv2/show-24-441-1.html
英国伦敦大学学院Dr. Yun Bai学术讲座	工程科学前沿讲坛	Dr. Yun Bai	2017-12-25	http://news.cqu.edu.cn/newsv2/show-24-443-1.html
黑龙江省城镇建设研究所朱卫中教授学术报告	工程科学前沿讲坛	朱卫中	2017-12-23	http://news.cqu.edu.cn/newsv2/show-24-436-1.html
新世界：国际主义视野中的19-20世纪连续与断裂	文字斋讲座	殷之光	2017-12-19	http://news.cqu.edu.cn/newsv2/show-24-438-1.html
Soli mechanics challenges in seasonally frozen groud regions	重大讲座	Hossam Abuel-Naga 教授	2017-12-18	http://news.cqu.edu.cn/newsv2/show-24-437-1.html
中国建筑色?材趋势		钱平	2017-12-17	http://news.cqu.edu.cn/newsv2/show-24-430-1.html
建院求职好声音		规划局、设计院、地产等不同就业单位的人事部门分责人及中高层领导	2017-12-17	http://news.cqu.edu.cn/newsv2/show-24-429-1.html
传统法的当代价值	重大讲座	赵晓耕	2017-12-16	http://news.cqu.edu.cn/newsv2/show-24-420-1.html
从礼法到政法——传统与现代中国法的结构与哲学及其改造提升	重大讲座	张中秋	2017-12-15	http://news.cqu.edu.cn/newsv2/show-24-419-1.html
虚构叙事伦理：从文字到数字	文字斋讲座	王鸿生	2017-12-15	http://news.cqu.edu.cn/newsv2/show-24-432-1.html
Hybrid Nano Battery-supercapacitor Materials for Renewable Energy Storage	光电讲坛	汪正平	2017-12-15	http://news.cqu.edu.cn/newsv2/show-24-431-1.html
新加坡南洋理工大学在城市岩土问题解决方案的一些研究		楚剑	2017-12-14	http://news.cqu.edu.cn/newsv2/show-24-428-1.html
李雪明关于2017诺贝尔化学奖解读—冷冻电镜史话的报告	重大讲座	李雪明研究员	2017-12-11	http://news.cqu.edu.cn/newsv2/show-24-424-1.html
【红岩讲坛第六讲】骆郁廷教授讲座	红岩讲坛	骆郁廷教授	2017-12-07	http://news.cqu.edu.cn/newsv2/show-24-421-1.html
雷清泉院士报告会	工程科学前沿讲坛	雷清泉	2017-12-03	http://news.cqu.edu.cn/newsv2/show-24-415-1.html
【建管·城环·建筑】联合创新创业沙龙交流活动	研究生学术创新论坛	创新创业达人	2017-12-02	http://news.cqu.edu.cn/newsv2/show-24-417-1.html
东南西北 ? 中：工科博士的诗与远方	重大讲座	王华（笔名：左手）	2017-12-02	http://news.cqu.edu.cn/newsv2/show-24-412-1.html
土木工程学院学术报告会	重大讲座	Ikuo Towhata (东畑郁生)教授	2017-12-01	http://news.cqu.edu.cn/newsv2/show-24-416-1.html
“设计渝论”预告|Design in Asia（Erik Amir）	设计渝论	Erik Amir（LWK & Partners）	2017-11-30	http://news.cqu.edu.cn/newsv2/show-24-414-1.html
加拿大阿尔伯塔大学骆静利院士讲座	工程科学前沿讲坛	骆静利 院士	2017-11-30	http://news.cqu.edu.cn/newsv2/show-24-413-1.html
核燃料及材料辐照效应评价与表征技术	工程科学前沿讲坛	伍晓勇	2017-11-29	http://news.cqu.edu.cn/newsv2/show-24-411-1.html
“逸夫楼”讲座 —《巴山烟雨 重庆往事》	逸夫楼讲座	章玉玲	2017-11-27	http://news.cqu.edu.cn/newsv2/show-24-410-1.html
『艺术开讲了』系列讲座第二期·请铭记，雾重庆	艺术开讲了	马欣	2017-11-25	http://news.cqu.edu.cn/newsv2/show-24-406-1.html
海外民族志研究中的第三方视角：以泰国研究经验为例	博雅讲座	龚浩群	2017-11-24	http://news.cqu.edu.cn/newsv2/show-24-404-1.html
【设计渝论?预告】蔡永洁 | 设计实践与教学实践之间	设计渝论	蔡永洁 教授 再城市化改造	2017-11-24	http://news.cqu.edu.cn/newsv2/show-24-408-1.html
詹耀裕关于装配式建筑在国内的发展及润泰预制工艺的特点的报告	重大讲座	詹耀裕	2017-11-23	http://news.cqu.edu.cn/newsv2/show-24-407-1.html
【讲座预告】邵 菱 Linda Shao∣ 扎根本土 心向世界		邵 菱 Linda Shao	2017-11-23	http://news.cqu.edu.cn/newsv2/show-24-409-1.html
双周学术论坛·社会生态空间讲座	双周学术论坛	I?aki Alday	2017-11-21	http://news.cqu.edu.cn/newsv2/show-24-405-1.html
中科院力学所洪友士研究员学术讲座	工程科学前沿讲坛	洪友士	2017-11-21	http://news.cqu.edu.cn/newsv2/show-24-402-1.html
南京航空航天大学臧朝平教授学术讲座	工程科学前沿讲坛	臧朝平	2017-11-20	http://news.cqu.edu.cn/newsv2/show-24-399-1.html
丹麦科技大学Jakob Mann教授学术报告		Jakob Mann 教授	2017-11-17	http://news.cqu.edu.cn/newsv2/show-24-403-1.html
计算机学院专家讲座“Boosting Complete-Code Tool for Partial Program Analysis”	重大讲座	钟浩	2017-11-17	http://news.cqu.edu.cn/newsv2/show-24-400-1.html
庭审进校园系列活动		北碚区人民法院	2017-11-16	http://news.cqu.edu.cn/newsv2/show-24-401-1.html
企业管理悟道之“读史明智”	重大讲座	吴刚	2017-11-10	http://news.cqu.edu.cn/newsv2/show-24-398-1.html
学术讲座	重大讲座	Pro. Michael Barnsley	2017-11-09	http://news.cqu.edu.cn/newsv2/show-24-396-1.html
中国科学院研究员学术讲座	工程科学前沿讲坛	聂超群 研究员	2017-11-09	http://news.cqu.edu.cn/newsv2/show-24-393-1.html
“红岩讲坛”第五讲：万俊人讲座	红岩讲坛	万俊人	2017-11-09	http://news.cqu.edu.cn/newsv2/show-24-395-1.html
Driving down the carbon footprint- CO2 and cars	重大讲座	Gary Hawley 教 授	2017-11-08	http://news.cqu.edu.cn/newsv2/show-24-397-1.html
嘉陵江化学化工前沿学术讲座	虎溪大讲堂	谢剑	2017-11-07	http://news.cqu.edu.cn/newsv2/show-24-394-1.html
中国革命中的阶级分析、底层收益与社会再造	博雅讲座	吴重庆	2017-11-06	http://news.cqu.edu.cn/newsv2/show-24-392-1.html
加拿大皇家科学院、工程院院士Ned Djilali教授讲座	工程科学前沿讲坛	Ned Djilali教授	2017-11-06	http://news.cqu.edu.cn/newsv2/show-24-389-1.html
如何培养写作能力：让生命有无限可能		韩松落	2017-11-03	http://news.cqu.edu.cn/newsv2/show-24-391-1.html
《带上音乐去旅行》—欧洲800年音乐穿越之旅	逸夫楼讲座	马辰	2017-11-02	http://news.cqu.edu.cn/newsv2/show-24-388-1.html
学术报告——高剪切混合器的研究与工业应用	虎溪大讲堂	张金利	2017-11-02	http://news.cqu.edu.cn/newsv2/show-24-386-1.html
学术报告——二氧化碳和氮气的电化学还原	虎溪大讲堂	邵敏华	2017-11-01	http://news.cqu.edu.cn/newsv2/show-24-385-1.html
颜志淼博士关于非线性振动能量采集器模拟设计与气弹研究讲座	重大讲座	颜志淼 博士	2017-10-31	http://news.cqu.edu.cn/newsv2/show-24-387-1.html
印度古代数论哲学：《金七十论》浅说	博雅讲座	张保胜	2017-10-30	http://news.cqu.edu.cn/newsv2/show-24-383-1.html
“红岩讲坛”（第四讲）开讲啦！	红岩讲坛	黄蓉生	2017-10-26	http://news.cqu.edu.cn/newsv2/show-24-381-1.html
土木工程学院学术报告会	重大讲座	Desai, Chandrakant, S.教授	2017-10-25	http://news.cqu.edu.cn/newsv2/show-24-382-1.html
张希黔教授关于近期几个土木建筑工程典型案例介绍讲座	重大讲座	张希黔教授	2017-10-25	http://news.cqu.edu.cn/newsv2/show-24-380-1.html
