词汇,词频
研究,160
人,112
大学,99
报,94
告,94
报告,84
博士,66
简介,56
材料,53
教授,49
中国,48
主要,48
西南,48
发表,47
时,45
是,41
应用,36
大,36
博士后,36
技术,35
论文,35
国际,33
学院,32
生物,32
数据,32
领域,31
作者,31
细胞,30
星期一,30
从事,29
获得,28
学术,26
国家,26
研究员,23
化学,22
新,22
毕业,22
专业,22
方向,22
科学,22
项,21
论坛,21
美国,21
具有,21
中心,20
导师,20
目前,20
社会,19
教,19
包括,19
方法,19
蛋白,19
进行,18
项目,18
发现,18
身份,18
发展,17
作用,17
工作,17
博士学位,17
疼痛,17
方面,16
器件,16
有机,16
楼,15
会议室,15
学会,15
青年,15
担任,15
期刊,15
相关,15
杂志,14
问题,14
委员会,14
学者,14
治疗,14
介绍,14
全球,14
计算,14
系统,14
经济,13
—,13
功能,13
分子,13
设计,13
培养,13
水,13
新型,13
结构,13
开发,13
报告厅,13
金属,13
轨道,13
分析,13
能够,13
影响,12
内容,12
化工学院,12
工程,12
主持,12
获,12
实验室,12
到,12
会,12
流体,12
调控,12
电子学,12
计划,12
生物学,12
关系,12
反应,12
主任,11
过程,11
含弘,11
凝胶,11
高,11
合成,11
工程学院,11
支持,11
重要,11
哲学史,11
数学,11
主讲人,10
澳大利亚,10
神经,10
微,10
天然,10
耐药,10
基金,10
专家,10
能源,10
纳米,10
时间,10
探索,10
肝癌,10
物理,10
四川大学,10
偶联,10
芳基,10
管理,9
内容摘要,9
南京大学,9
博士生,9
体系,9
成果,9
分,9
干细胞,9
用于,9
加入,9
因子,9
药物,9
利用,9
微生物,9
产物,9
电子信息,9
电子,9
通讯,9
科学家,9
行为,9
讲座,8
主,8
题目,8
研发,8
苏轼,8
医学,8
机制,8
环境,8
产生,8
海洋,8
参与,8
作为,8
科技,8
磁场,8
人工智能,8
做,8
来,8
嘉宾,8
德国,8
水稻,8
自旋,8
催化,8
男,8
植物,8
创新,7
理论,7
政治,7
教育部,7
有,7
参加,7
研究院,7
模拟,7
挑战,7
先后,7
抗生素,7
