词汇,词频
研究,219
大学,169
人,152
报告,146
西南,107
报,103
告,101
教授,96
中国,94
学院,90
简介,75
论文,74
博士,71
发表,67
获得,64
国家,64
主要,63
国际,61
获,51
从事,47
项,46
项目,46
博士学位,44
领域,41
学术,40
是,40
技术,39
化学,38
科技,38
工作,37
研究员,36
研究所,36
时间,35
应用,35
导师,35
博士后,35
方向,35
农业,34
美国,34
主办单位,34
期刊,33
题目,32
博士生,31
专家,31
植物,31
中心,30
历史,30
学者,29
论坛,29
时,29
作者,29
有,29
重庆,29
地点,28
学会,28
报告厅,28
主讲人,27
科协,27
专业,27
教育部,27
机制,27
主任,27
奖,27
主,26
包括,26
目前,26
讲座,24
学习,24
委员会,24
细胞,24
计算,24
实验室,24
计算机,24
—,24
材料,23
新,23
会议,23
出版,23
工程学院,23
计划,23
青年,22
生物,22
毕业,22
委员,21
下午,21
科学,21
网络,21
建设,21
分会,21
上午,20
单位,20
工程,20
参与,20
主持,20
重点,20
担任,20
获得者,20
副,20
部,19
纳米,19
分子,19
到,19
发展,19
乡村,19
院长,19
讲,18
文化,18
硕士学位,18
现任,18
参加,18
社会,18
承办,18
主席,18
自然科学,17
刊物,17
优秀,17
方面,17
环境,17
基金,17
信息,17
学士学位,16
编辑,16
进行,16
研究生,16
学术论文,16
问题,16
星期六,16
院士,16
校,16
一等奖,16
德国,15
国家自然科学基金,15
科研,15
专著,15
重庆市,15
研究院,15
会,15
系,15
副教授,15
全国,15
学科,15
四川省,15
时代,15
电子信息,15
数学,15
功能,14
能源,14
化工学院,14
调控,14
相关,14
重要,14
二等奖,14
入选,14
智能,14
博物馆,14
四楼,14
会员,13
作为,13
作用,13
创新,13
内容摘要,13
系统,13
教学,13
主编,13
人工智能,13
加拿大,13
社会科学,13
大会,13
管理,13
校史,13
男,12
教学楼,12
中科院,12
杂志,12
模式,12
影响,12
科学技术,12
成员,12
学位,12
省部级,12
机器,12
民族,12
来,11
学术报告,11
楼,11
特聘,11
内容,11
奖学金,11
攻读,11
指导,11
现,11
酸,11
蛋白,11
病毒,11
设计,11
最佳,11
物,11
联网,11
引用,11
战略,11
植物保护,11
统计,11
现象学,11
历史学,10
先后,10
兼任,10
科学基金,10
组织,10
转录,10
可,10
次,10
数据,10
发现,10
重大,10
转基因,10
经典,10
成果,10
理事,10
人才,10
哲学,10
大,10
杰出青年,10
广播,10
高分子,9
含弘,9
代谢,9
资助,9
资源,9
方法,9
中国科学院,9
新型,9
微,9
做,9
阅读,9
北京大学,9
欢迎,9
沙龙,9
通信,9
无线网络,9
起来,9
云,9
讲坛,9
中国农业科学院,9
决策,9
教室,8
学,8
长江,8
清华大学,8
四川大学,8
完成,8
授权,8
分,8
编委,8
过程,8
近,8
发明专利,8
神经,8
视网膜,8
日本,8
硕士,8
科研项目,8
基因,8
介绍,8
活性,8
成熟,8
结构,8
番茄,8
分子生物学,8
工业,8
题,8
副理事长,8
师生,8
邀请,8
持,8
新世纪,8
人文,8
抗肿瘤,8
系列,8
理论,8
计算机科学,8
广东省,8
高级,8
杰出,8
级,8
中山大学,8
浙江省,8
转运,8
知识产权,8
北京,7
史,7
会议室,7
举办,7
化工,7
具有,7
审稿人,7
马普,7
生物学,7
控制,7
遗传,7
生命科学,7
星期二,7
发育,7
诱导,7
茉莉,7
水平,7
类,7
部分,7
引,7
专利,7
开发,7
支持,7
著作,7
请,7
著名,7
主题,7
江南,7
果树,7
课题,7
信息科学,7
韩国,7
荣获,7
协同,7
研发,7
移动,7
药学院,7
天然,7
药物,7
星期四,7
科技进步,7
科学院,7
华南理工大学,7
广州,7
优化,7
高,7
中国计算机学会,7
专委会,7
安全性,7
教师,7
农村,7
农业部,7
年度,7
常务理事,7
氨基酸,7
证据,7
教,6
协会,6
收录,6
合成,6
通讯,6
生理,6
欧洲,6
英文,6
因子,6
信号,6
产物,6
国家级,6
