词汇,词频
研究,19
报告,12
教授,12
人,11
中国,11
广东省,9
厦门大学,7
科协,6
学术,6
澳大利亚,6
基金,6
获,6
化学,6
博士生,6
导师,6
题目,5
大学,5
简介,5
书画,5
院士,5
重点项目,5
报,4
告,4
毕业,4
先后,4
从事,4
分子,4
国际,4
博物馆,4
委员,4
委员会,4
广东,4
美术史,4
科学技术,4
国家杰出青年基金,4
创新,4
科学家,4
国家,4
时间,3
校,3
现,3
抗,3
主任,3
获得,3
博士学位,3
担任,3
研究员,3
论文,3
朱,3
国家博物馆,3
美术,3
特聘,3
出版,3
鉴定,3
理论,3
副,3
世界,3
谢毅,3
江云,3
宝,3
化工学院,3
化学系,3
科学院,3
奖,3
工作,3
地点,2
教,2
主办单位,2
药学院,2
精神药物,2
博士后,2
作用,2
承担,2
机制,2
发表,2
目前,2
专家,2
文学院,2
讲坛,2
讲座,2
报告厅,2
研究馆员,2
中山大学,2
学士学位,2
明清,2
艺术,2
起,2
鉴藏,2
评论,2
展览,2
协会理事,2
兼,2
美协,2
民盟,2
收藏,2
有,2
岭南,2
美术馆,2
学院,2
学术报告,2
材料,2
教育部,2
重点,2
实验室,2
选为,2
发展中国家,2
群体,2
重大,2
计划,2
杰出,2
女,2
青年,2
固体,2
设计,2
传感,2
超,2
主持,2
项目,2
稀土,2
磁,2
制冷,2
龙腊,2
生,2
福建省,2
今,2
美国,2
讲堂,1
β,1
邓超,1
卧龙岗,1
星期五,1
上午,1
室,1
医学院,1
研究室,1
西南师范大学,1
生物系,1
神经科学,1
今在,1
高级,1
主要,1
神经性,1
疾病,1
机理,1
靶标,1
新药,1
精神病,1
药物,1
副反应,1
课题,1
跨国,1
制药,1
企业,1
科学,1
顾问,1
杂志,1
审稿,1
名师,1
鉴真,1
辨伪,1
日晚,1
西南,1
主,1
讲,1
主讲人,1
—,1
男,1
四川,1
眉山,1
历史系,1
中国艺术研究院,1
专业,1
北京画院,1
齐白石,1
中心,1
中国美术家协会,1
会员,1
供职,1
教学,1
策划,1
历任,1
书法家,1
文物,1
文艺批评,1
家协会,1
主席团,1
成员,1
广东省政协,1
广州市,1
文化,1
盟史,1
书画院,1
院长,1
作家,1
协会会员,1
人文,1
研究会,1
理事,1
聘为,1
广州美术学院,1
论系,1
讲授,1
中国书画,1
课程,1
调至,1
鉴考,1
近代,1
画史,1
丛,1
稿,1
居巢,1
居廉,1
市场,1
髡,1
残,1
陈师曾,1
论著,1
撰写,1
近,1
领域,1
开始,1
涉及,1
近现代,1
当代,1
擅,1
绘画,1
画,1
葫芦,1
著称,1
被誉为,1
学者型,1
文人画,1
作品,1
档案馆,1
肇庆,1
南海,1
顺德,1
机构,1
北京,1
上海,1
广州,1
举办,1
一葫一,1
画集,1
系列,1
应,1
学校,1
邀请,1
和龙,1
腊生,1
莅临,1
做,1
请,1
能源,1
学部,1
部门,1
积极,1
组织,1
研究生,1
到,1
会,1
参加,1
下午,1
发光,1
分析化学,1
新,1
大学化学,1
材料科学,1
留校,1
任教,1
升为,1
入选,1
长江,1
增选,1
中国科学院,1
亚太,1
基金委,1
带头人,1
科技部,1
首席,1
应用化学,1
联合会,1
化工,1
女性,1
化学奖,1
成就奖,1
重要,1
个人奖,1
完成,1
自然科学,1
二等奖,1
次,1
现任,1
副主编,1
方向,1
电,1
声,1
调制,1
无机,1
功能,1
性能,1
硫醇,1
配位,1
聚合物,1
平台,1
理学博士,1
学位,1
哥廷根,1
香港大学,1
高访,1
侧重,1
体系,1
光,1
物理化学,1
光化学,1
识别,1
德国,1
洪堡,1
大众,1
国家自然科学基金,1
团队,1
高,1
核,1
过渡,1
金属簇,1
合物,1
合成,1
效应,1
表面,1
物理,1
获得者,1
科技,1
领军,1
人才,1
全国,1
优秀,1
博士论文,1
指导,1
教师,1
晶体,1
无机化学,1
学报,1
编委,1
专题,1
编辑,1
迄今为止,1
刊物,1
相关,1
化学工程,1
新闻,1
美国化学会,1
著名,1
网站,1
亮点,1
进行,1
报道,1
专门,1
评价,1
方面,1
收录,1
专辑,1
申请,1
子课题,1
