词汇,词频
研究,73
报告,63
人,49
教授,49
是,31
大学,29
学术,28
材料,28
国家,25
学院,24
简介,23
中国,22
化学,22
设计,20
科学,19
获得,19
计划,18
专业,18
主要,18
分析,18
美国,18
技术,17
科协,17
纳米,17
报,16
告,15
文化,15
应用,15
包括,15
主,14
题目,14
方法,14
导师,13
时间,13
地点,13
发表,13
博士,12
博士生,12
研究员,12
分子,12
会,12
讲座,12
论文,12
获,12
西南,12
蛋白质,12
中心,11
工程,11
物理,11
工作,11
副,10
边界层,10
主办单位,10
教学,10
理论,10
系统,10
目前,10
项目,10
生物,10
天体,10
时,9
教育部,9
主任,9
委员会,9
学术报告,9
热,9
上午,9
校,9
领域,9
介绍,9
结构,9
青年,9
人工智能,9
做,9
新,9
发展,9
理事,8
方向,8
功能,8
报告厅,8
博士学位,8
担任,8
能源,8
方面,8
模拟,8
具有,8
网络,8
重点,8
奖,8
研究所,8
实验室,8
中国科学院,8
作为,8
北京市,8
张,8
干细胞,7
教,7
人才,7
专家,7
主讲人,7
学科,7
转捩,7
环境,7
数据,7
社会科学,7
世界,7
到,7
成果,7
思想,7
重大,7
高分子,7
从事,7
合成,7
项,7
论坛,7
题,6
下午,6
医学院,6
工程技术,6
科技,6
历史,6
讲,6
任,6
来,6
副教授,6
杂志,6
学者,6
陈名华,6
系,6
通用,6
国际,6
能,6
获得者,6
先后,6
讲堂,6
科学研究,6
化工学院,6
学会,6
基础,6
电化学,6
聚合物,6
光子,6
统计学,6
生殖,5
调控,5
会议室,5
创新,5
领军,5
细胞,5
生物化学,5
分子生物学,5
北京大学,5
楼,5
成员,5
共振,5
硕士学位,5
如,5
主席,5
智能,5
主持,5
检测,5
百,5
核心,5
分析化学,5
生化,5
博士后,5
秘书长,5
经济,5
组装,5
入选,5
一等奖,5
马克思主义,5
政治,5
物理学,5
持,4
院长,4
动物,4
分会,4
人类,4
重要,4
举办,4
国务院,4
出版,4
相关,4
奖励,4
星期二,4
澳大利亚,4
资源,4
内容,4
问题,4
进行,4
得到,4
理事会,4
利用,4
响应,4
计信院,4
在线,4
离线,4
社会,4
社交,4
科研,4
大,4
信息,4
合作,4
期,4
数据中心,4
动态,4
未来,4
星期四,4
最佳,4
统计,4
性能,4
委员,4
长春,4
应用化学,4
现代,4
