词汇,词频
研究,146
报告,118
人,103
大学,88
教授,79
中国,71
报,64
告,59
材料,52
西南,51
学院,51
是,50
国家,50
简介,48
工作,39
科学,37
主要,37
学术,36
技术,35
重庆市,34
获得,33
项目,33
结构,31
环境,31
博士,30
发表,30
论文,30
委员会,30
中心,29
—,29
讲座,27
获,26
主任,26
科协,25
担任,24
题目,23
时间,23
研究院,23
主,22
发展,22
从事,22
包括,21
时,21
委员,21
领域,21
创新,21
化学,20
学会,20
导师,20
专家,20
期刊,20
教育,20
报告厅,19
博士学位,19
青年,19
博士生,19
美国,19
国际,19
地点,19
副,19
问题,19
农业,19
纳米,18
奖,18
主办单位,18
系统,18
方法,18
应用,18
发现,18
基金,18
研究所,18
中医,18
研究员,17
院士,17
文化,17
主讲人,17
计划,17
国家自然科学基金,17
目前,16
药物,16
校,16
复合材料,16
重点,16
历史,16
中科院,16
阅读,16
学术报告,15
博士后,15
讲,15
网络,15
完成,15
上午,15
教学,15
理论,15
内容,15
植物保护,15
南洋,15
杂志,15
项,15
现,14
会,14
到,14
过程,14
实现,14
关系,14
方向,14
可,13
社会,13
专业,13
主持,13
实验室,13
工程,13
非织造,13
活动,13
仿生,13
参加,13
全国,13
地理,13
混成,13
期,13
戏剧,13
用于,12
决策,12
分子,12
模型,12
学报,12
新,12
方面,12
分会,12
金属,12
昆虫,12
持续,12
科技,12
设计,11
下午,11
作者,11
合作,11
先进,11
中国科学院,11
常务理事,11
有,11
新加坡,11
题,11
苏轼,11
重大,11
大,11
基础,11
介绍,11
学部,10
科学院,10
功能,10
生物,10
来,10
合成,10
纤维,10
文献,10
楼,10
信息,10
数据,10
欢迎,10
计算,10
科研,10
文学史,10
．,10
毒理学,10
小,9
现任,9
超过,9
人才,9
国家级,9
具有,9
纺织,9
学科,9
影响,9
动物,9
昆虫学,9
获得者,9
毕业,9
研究生,9
优秀青年,9
交流,9
理工大学,9
证明,9
机制,9
目,9
柑桔,9
植物,9
物理,9
兽医,9
检验,9
副研究员,9
类病毒,9
系,8
高,8
管理,8
