词汇,词频
研究,95
中国,53
人,46
教授,44
大学,37
学院,31
报,28
国家,27
西南,27
学术,26
告,26
简介,26
文化,24
电影,23
时,22
主,21
报告,20
技术,20
发表,20
主讲人,20
主要,19
中心,19
—,17
主任,17
教育部,17
艺术,16
有,16
项目,16
教育,16
获,15
博士生,15
报告厅,14
论文,14
历史,14
心理学,13
功能,13
科学,13
导师,13
是,13
语言,13
院士,13
部,12
领域,12
学会,12
发展,12
讲座,11
题,11
学,11
讲,11
文学,11
研究院,11
奖,11
社科,11
社会科学,11
化学,11
委员会,11
网络,11
思想,11
上午,10
机制,10
研究员,10
主办单位,10
包括,10
国际,10
研究所,10
全国,10
专业,10
语言学,10
政治,10
分析化学,10
脑,9
时间,9
物理,9
美国,9
工作,9
方向,9
理论,9
文学院,9
博士,9
基金,9
课题,9
分析,9
目,8
科协,8
专家,8
主持,8
哲学,8
博士后,8
院长,8
内容,8
大脑,8
项,8
植物,8
分子,7
基因,7
地点,7
北京大学,7
应用,7
下午,7
四川省,7
研究会,7
世纪,7
现任,7
教材,7
学术论文,7
主编,7
新,7
理事,7
琴歌,7
经典,7
食品,7
生物,7
中国科学院,7
星期二,6
教室,6
先后,6
从事,6
讲坛,6
博士学位,6
南京大学,6
著作,6
重大,6
基础教育,6
重点,6
教学楼,6
持,6
大后方,6
史,6
举办,6
问题,6
出版,6
学科,6
植物保护,6
杂志,6
复旦大学,6
环境,6
神经,5
题目,5
校,5
青年,5
方面,5
基本,5
期刊,5
四川大学,5
西方,5
常务理事,5
美学,5
教学,5
论,5
时代,5
课程,5
荣誉,5
女性,5
欢迎,5
抗战,5
沙龙,5
生,5
协会,5
委员,5
作为,5
参加,5
数据,5
高,5
教育学,5
兴趣,5
小麦,5
完成,5
农业,5
古琴,5
办,5
男,5
副教授,5
类脑,5
电,5
高等教育,5
解读,5
鉴赏,5
讲堂,4
原子核,4
实验室,4
引用,4
名师,4
重庆市,4
中文系,4
获得者,4
译著,4
社会,4
新课程,4
华南,4
师范大学,4
所长,4
评价,4
香港浸会大学,4
新加坡,4
南洋,4
获得,4
材料,4
教务处,4
同学们,4
踊跃,4
参与,4
活动,4
南京大屠杀,4
现,4
抗日战争,4
刊物,4
晚上,4
影像,4
专著,4
大,4
原则,4
马克思主义,4
张耀灿,4
兼任,4
人文,4
优秀,4
现代,4
星期四,4
加州大学,4
伯克利分校,4
理事长,4
学报,4
食品科学,4
赵国,4
接触,4
省部级,4
变性,4
发育,4
中国化学会,4
信号,4
涉及,3
因子,3
后现代,3
星期五,3
毕业,3
新闻,3
系,3
丹麦,3
哥本哈根大学,3
客座教授,3
文艺理论,3
副会长,3
突出贡献,3
卓越,3
人生,3
现代文学,3
国家级,3
背景,3
科技,3
撰写,3
重大项目,3
规划,3
创新,3
化学系,3
理工大学,3
担任,3
纳米技术,3
杰出,3
觉醒,3
级,3
教师,3
影响,3
跨学科,3
星期六,3
中国共产党,3
精神,3
雨僧,3
国务院,3
电视,3
评委,3
当代,3
承担,3
主讲,3
顾问,3
基地,3
高校,3
成果奖,3
体系,3
编委,3
中国农业科学院,3
锈病,3
副主编,3
图书馆,3
华,3
琴,3
传统,3
产生,3
过程,3
智慧,3
相关,3
作者,3
关系,3
茶马,3
古道,3
认知,3
模型,3
发现,3
动态,3
智能科学,3
系统,3
可变性,3
精神疾病,3
研究生,3
中世纪,3
核心,3
名著,3
质谱,3
电化学,3
发展中国家,3
科学院,3
色谱,3
当选,3
蛋白质,3
孟凡君,3
傅雷,3
家书,3
评论家,3
栾升,3
传导,3
评审,3
曾利君,3
边城,3
围城,3
基金项目,3
要,3
使用,2
集中,2
人格,2
成像,2
结构,2
像,2
梦,2
机遇,2
赵鹏巍,2
计划,2
入选者,2
学位,2
核物理,2
总,2
审美,2
西南师范大学,2
硕士,2
美国哈佛大学,2
访问学者,2
高级,2
特聘,2
会长,2
带头人,2
代表性,2
意义,2
文学批评,2
走向,2
导论,2
状况,2
高凌飚,2
小,2
阶梯教室,2
核心成员,2
实验,2
学业成绩,2
科研,2
电子,2
就读于,2
加拿大,2
施乐,2
工程,2
副,2
目前,2
加工,2
次,2
荣获,2
管理,2
创新奖,2
论坛,2
身体,2
凝视,2
女性主义,2
服装,2
期,2
传媒,2
指导,2
年代,2
意识,2
来,2
探讨,2
学术论坛,2
暨,2
通告,2
书写,2
例,2
会议室,2
文化村,2
舍,2
学院院长,2
南京,2
副所长,2
联合会,2
近代史,2
论著,2
革命,2
资源,2
重庆,2
面临,2
贾,2
磊磊,2
传播,2
中共党员,2
中国艺术研究院,2
战略,2
特殊津贴,2
武侠,2
形态,2
批评,2
咨询,2
世界,2
提升,2
质量,2
建构,2
工业,2
华中师范大学,2
开拓者,2
潜心,2
问道,2
耕耘者,2
曾宪梓,2
基金会,2
成员,2
原理,2
前沿,2
监测,2
洞察力,2
人才,2
研究成果,2
学者,2
陈万权,2
条锈病,2
综合治理,2
二级,2
生物学,2
科技进步,2
一等奖,2
楼,2
承,2
颂雅琴,2
社,2
乐器,2
诗经,2
琴曲,2
连接,2
纽带,2
作品,2
王博,2
教,2
联合,2
迪肯,2
培养,2
高质量,2
审稿人,2
肽,2
活性,2
付余,2
科学技术,2
会员,2
师从,2
先生,2
主持人,2
演化,2
建模,2
组织,2
方法论,2
张捷,2
香港,2
文章,2
静息,2
状态,2
表达,2
节点,2
指标,2
解析,2
调控,2
程炜,2
模态,2
刘,2
曌,2
雯,2
脑科学,2
视野,2
崔延强,2
人员,2
月刊,2
翻译,2
欧洲,2
发光,2
生命,2
陈洪渊,2
委会,2
分析仪器,2
江桂斌,2
途径,2
化学家,2
生态,2
毒理学,2
副理事长,2
北京,2
汪尔康,2
成就奖,2
张玉奎,2
组学,2
方法,2
细胞,2
导读,2
预告,2
北京师范大学,2
外国语,2
经藏,2
易学,2
翻译学,2
傅,2
雷先生,2
著名,2
翻译家,2
文艺,2
造诣,2
营养,2
哈佛大学,2
胁迫,2
机理,2
现当代,2
比较文学,2
参研,2
吴宓,2
王泉,2
糖业,2
壮,2
经济史,2
智能手机,1
社交,1
媒体,1
神经科学,1
基础,1
揭开,1
微信,1
成瘾,1
面纱,1
德国,1
乌尔姆,1
系主任,1
情绪,1
采用,1
基因学,1
考察,1
人类,1
个体,1
个体差异,1
经济学,1
信息系统,1
性质,1
统一,1
描述,1
挑战,1
大楼,1
理学博士,1
日本京都大学,1
阿贡,1
密度,1
泛,1
函,1
转动,1
奇特,1
对称性,1
破缺,1
检验,1
物理学,1
顶级,1
达,1
形象,1
膨胀,1
幻象,1
时空,1
压缩,1
体验,1
阎,1
嘉,1
阎嘉,1
生于,1
本科毕业,1
艺术史,1
东亚,1
台湾,1
南华大学,1
视觉艺术,1
学系,1
文学系,1
文艺美学,1
英文,1
文献,1
译介,1
优秀教师,1
宝钢,1
教育奖,1
味,1
农家乐,1
日常生活,1
审美化,1
文本,1
边界,1
高雅,1
功用,1
叔本华,1
洞悉,1
痛苦,1
智者,1
汉语,1
文学理论,1
精粹,1
读本,1
马赛克,1
主义,1
抽象,1
技巧,1
通俗,1
晚期,1
风格,1
谱系,1
招标,1
首席专家,1
科学奖,1
中山大学,1
物理系,1
香港大学,1
高中物理,1
课程标准,1
修订,1
组,1
常务副,1
工具,1
制定,1
编写,1
评估,1
高中学生,1
改革,1
－,1
推广,1
子课题,1
学生,1
印刷,1
幻想,1
炒作,1
星期一,1
麦吉尔,1
施乐公司,1
战略家,1
地区,1
经理,1
执行部,1
制造,1
研究局,1
项目部,1
总监,1
加入,1
创意,1
有机,1
先进,1
新兴,1
电子技术,1
超过,1
高达,1
拥有,1
专利,1
化学品,1
界,1
商业,1
领袖,1
强,1
查,1
斯特,1
卡尔逊,1
发明奖,1
校友,1
美国化学会,1
商业化,1
学行,1
数,1
新闻学,1
杨仕彦,1
屈永攀,1
夏金龙,1
张天林,1
化工学院,1
免师,1
王利,1
崔,1
丽,1
筒,1
介,1
男尊女卑,1
男权,1
装束,1
有着,1
桎梏,1
束腰,1
胸衣,1
撑,1
裙,1
成为,1
标准,1
装扮,1
主体,1
女权运动,1
兴起,1
群体,1
打破,1
禁锢,1
追求,1
解放,1
轰轰烈烈,1
战争,1
重新,1
赢回,1
掌控,1
权,1
围绕,1
关键词,1
演变,1
张,1
潘,1
洵,1
张生,1
侵华日军,1
南京师范大学,1
社会科学家,1
海南,1
三亚,1
家,1
含,1
合作,1
学术研究,1
社科联,1
影视,1
道德教育,1
原,1
督导,1
督学,1
颁发,1
政府,1
广播电视,1
总局,1
审查,1
华表奖,1
金鸡奖,1
中宣部,1
五个一工程,1
飞天奖,1
戏剧,1
武之舞,1
神魂,1
武舞,1
神话,1
纵横,1
电影史,1
年鉴,1
抉择,1
文集,1
文化部,1
一般,1
负责,1
国家科技部,1
决策,1
国家广播,1
电视总局,1
部级,1
跃居,1
市场,1
强劲,1
发展势头,1
前进,1
重要,1
关口,1
生命线,1
强化,1
保障机制,1
规范,1
全,1
产业链,1
兼顾,1
技,1
道,1
特质,1
建设,1
构筑,1
力量,1
当下,1
创作界,1
学界,1
业界,1
直面,1
光大,1
通知,1
主题,1
助力,1
意识形态,1
治理,1
开始,1
思政,1
中国社科院,1
高等师范,1
院校,1
创始人,1
作出,1
重大贡献,1
国务院学位委员会,1
政治学,1
评议组,1
组成员,1
全国高校,1
清华大学,1
德育,1
湖北省,1
重点学科,1
攻关项目,1
师,1
等奖项,1
著述,1
面向,1
史论,1
理论课,1
教学质量,1
跨文化,1
跨,1
差异,1
相似性,1
美国加州大学伯克利分校,1
加州,1
大学预科,1
学校,1
伯克利加州大学,1
心理学系,1
兼职,1
天才,1
认同,1
危,1
量表,1
编制,1
验证,1
转换,1
理事会,1
天才儿童,1
贡献奖,1
学术报告,1
四楼,1
实践,1
任,1
麻类,1
禾,1
谷类作物,1
执委,1
产业,1
病,1
虫草,1
研究室,1
白粉病,1
协作组,1
组长,1
职务,1
赤霉病,1
黑穗病,1
麦类,1
真菌,1
病害,1
预警,1
综合,1
防治,1
菌源,1
构建,1
作物,1
多样性,1
控制,1
病虫害,1
关键技术,1
二等奖,1
中华,1
英才,1
农业科研,1
杰出人才,1
全国五一劳动奖章,1
工作者,1
先进个人,1
粮食,1
生产,1
科技人员,1
周五,1
晚,1
崇德,1
书斋,1
工作坊,1
协,1
戴,1
伟,1
戴伟华,1
社长,1
音乐家,1
琴音,1
清婉,1
悠长,1
切切,1
娓娓动听,1
近代,1
称,1
七弦琴,1
名称,1
见于,1
春秋,1
远,1
成书,1
已有,1
音乐,1
保存,1
下来,1
独奏,1
性能,1
歌唱,1
为主,1
伴奏,1
中华民族,1
具体表现,1
古今,1
感受,1
古人,1
阳春白雪,1
关山月,1
凤求凰,1
阳关三叠,1
胡笳十八拍,1
代表作品,1
广大,1
师生,1
微胶囊,1
技术开发,1
澳洲,1
公司,1
澳大利亚,1
昆士兰,1
讲师,1
皇家,1
墨尔本,1
澳大利亚联邦,1
农产品,1
精深,1
包埋,1
新型,1
开发,1
共有,1
篇,1
共计,1
次数,1
累计,1
顶尖,1
肉类,1
副产品,1
提取,1
蛋白,1
风味,1
见解,1
构效,1
糖基化,1
修饰,1
词与物,1
远征,1
陈,1
保,1
亚,1
陈保亚,1
早年,1
学医,1
转攻,1
华西,1
医学院,1
现属,1
师范学院,1
徐通,1
费孝通,1
攻读,1
精品课,1
习得,1
地理学,1
无界,1
阶,1
平行,1
协合,1
命名,1
王力,1
奖励,1
合著,1
联盟,1
特性,1
人工智能,1
网络分析,1
香港理工大学,1
科学家,1
提名奖,1
牛津大学,1
预测,1
入选,1
全球,1
被选为,1
封面,1
麦克阿瑟,1
奖得主,1
专门,1
评论,1
摘要,1
表现,1
出,1
高度,1
清楚,1
核磁共振,1
脑电,1
定义,1
反应,1
全局,1
构造,1
全脑,1
图谱,1
此基础,1
网络拓扑,1
变化,1
层面,1
阐述,1
利用,1
寻找,1
可塑性,1
提供,1
视角,1
运作,1
具有,1
标记识别,1
磁共振,1
数据分析,1
推断,1
统计,1
关联,1
身份,1
整合,1
探究,1
西安电子科技大学,1
计算机,1
硕,1
博,1
连读,1
智能,1
信息学,1
癌症,1
编码,1
智力,1
融合,1
奖学金,1
权力,1
邓磊,1
全体,1
在读,1
田家炳,1
学部,1
中共,1
党委,1
常委,1
副校长,1
研究生院,1
分管,1
后勤,1
集团,1
人民日报,1
光明日报,1
自然辩证法,1
战线,1
版,1
权威,1
编著,1
亚里士多德,1
全集,1
汉译,1
卷本,1
重点项目,1
希腊化,1
典籍,1
编译,1
专项,1
任务,1
社会主义,1
价值观,1
提炼,1
西方哲学,1
热烈欢迎,1
同学,1
光临,1
校史馆,1
举,1
计算,1
放射,1
留校,1
任教,1
化,1
江苏省,1
化工,1
高等学校,1
中英文,1
纳米,1
仿生,1
催化,1
传感,1
光电,1
微流,1
控,1
芯片,1
装置,1
污染物,1
生态环境,1
会,1
毒理,1
纳米材料,1
效应,1
极谱学,1
长春,1
应用化学,1
诺贝尔奖,1
海,1
洛夫斯基,1
捷克,1
日本,1
美,1
法,1
日及,1
五所,1
国家自然科学奖,1
院,1
国际奖,1
生命科学,1
深度,1
覆盖,1
交叉,1
组组长,1
分析测试,1
建立,1
热力学,1
近年来,1
结合,1
应用领域,1
需求,1
开展,1
分离,1
用于,1
临床,1
诊断,1
食品安全,1
准确度,1
高灵敏度,1
高通量,1
国内外,1
发明专利,1
籍贯,1
山东,1
诸城,1
拉丁文,1
孔亚,1
书院,1
外国文学,1
莎士比亚,1
中西文化,1
协会理事,1
红学,1
译笔,1
曼妙,1
文采,1
盎然,1
深邃,1
